id,brand,model_name,release_date,sale_status,cpu,screen_size,refresh_rate,main_camera_mp,battery_mah,image_url,image_source_url,official_url,data_quality
1,华为,HUAWEI Mate 70,2024-11-26,on_sale,麒麟系列处理器,6.7,120,50.0,5300,https://consumer.huawei.com/etc/designs/huawei-cbg-site/clientlib-campaign-v4/common-v4/images/logo.svg,https://consumer.huawei.com/cn/phones/mate70/specs/,https://consumer.huawei.com/cn/phones/mate70/specs/,official_verified
2,小米,Xiaomi 17,2025-09-25,on_sale,骁龙旗舰处理器,6.3,120,50.0,7000,https://i1.mifile.cn/f/i/2014/cn/placeholder-220!110x110.png,https://www.mi.com/prod/xiaomi-17/specs,https://www.mi.com/prod/xiaomi-17/specs,official_partial
3,Apple,iPhone 17,2025-09-10,on_sale,A19 芯片,6.3,120,48.0,,https://www.apple.com.cn/iphone-17/images/meta/iphone-17_specs__bzlgip6v14mu_og.png?202607150118,https://www.apple.com.cn/iphone-17/specs/,https://www.apple.com.cn/iphone-17/specs/,official_partial
4,vivo,vivo X200 Pro,2024-10-01,on_sale,CPU型号,6.78,120,50.0,6000,https://wwwstatic.vivo.com.cn/vivoportal/files/image/detail/20241022/9c1e4128681404a7b5ba1cef2a858595.png,https://www.vivo.com.cn/vivo/param/x200pro,https://www.vivo.com.cn/vivo/param/x200pro,official_verified
5,Apple,iPhone 17 Pro,,on_sale,A19 Pro 芯片,,,48.0,,https://www.apple.com.cn/iphone-17-pro/images/meta/iphone-17-pro_specs__dmh6t574x92e_og.png?202607290738,https://www.apple.com.cn/iphone-17-pro/specs/,https://www.apple.com.cn/iphone-17-pro/specs/,official_partial
6,Apple,iPhone 17 Pro Max,,on_sale,A19 Pro 芯片,,,48.0,,https://www.apple.com.cn/iphone-17-pro/images/meta/iphone-17-pro_specs__dmh6t574x92e_og.png?202607290738,https://www.apple.com.cn/iphone-17-pro/specs/,https://www.apple.com.cn/iphone-17-pro/specs/,official_partial
7,Apple,iPhone Air,,on_sale,A19 Pro 芯片,,,48.0,,https://www.apple.com/v/iphone-air/f/images/meta/iphone-air_specs__tvk87wfx1oi2_og.png?202607290738,https://www.apple.com.cn/iphone-air/specs/,https://www.apple.com.cn/iphone-air/specs/,official_partial
8,Apple,iPhone 17e,,on_sale,A19 芯片,,,48.0,,https://www.apple.com.cn/iphone-17e/images/meta/iphone17e_specs__b9s8kb5q7s5e_og.png?202607150118,https://www.apple.com.cn/iphone-17e/specs/,https://www.apple.com.cn/iphone-17e/specs/,official_partial
9,Apple,iPhone 16,,on_sale,A18 芯片,,,48.0,,https://www.apple.com.cn/iphone-16/images/meta/iphone-16_specs__bq5wb41xhdle_og.png?202602011642,https://www.apple.com.cn/iphone-16/specs/,https://www.apple.com.cn/iphone-16/specs/,official_partial
10,华为,HUAWEI Pura 90 Pro Max,,on_sale,麒麟9030S,6.9,120,50.0,6000,https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/pura90-pro-max/video/kv/kv-thumb.jpg,https://consumer.huawei.com/cn/phones/pura90-pro-max/,https://consumer.huawei.com/cn/phones/pura90-pro-max/specs/,official_verified
